NOWAK,101036
KOWALSKI,68406
WIŚNIEWSKI,54343
WÓJCIK,48957
KOWALCZYK,48184
KAMIŃSKI,46946
LEWANDOWSKI,45513
ZIELIŃSKI,44848
WOŹNIAK,43672
SZYMAŃSKI,43634
DĄBROWSKI,42606
KOZŁOWSKI,37187
MAZUR,33991
JANKOWSKI,33960
KWIATKOWSKI,32667
WOJCIECHOWSKI,32324
KRAWCZYK,31240
KACZMAREK,30611
PIOTROWSKI,30088
GRABOWSKI,28722
ZAJĄC,27635
PAWŁOWSKI,27353
KRÓL,27063
MICHALSKI,26711
WRÓBEL,25205
WIECZOREK,24842
JABŁOŃSKI,24701
NOWAKOWSKI,24245
MAJEWSKI,24203
OLSZEWSKI,23752
DUDEK,23248
STĘPIEŃ,23238
JAWORSKI,23144
ADAMCZYK,23082
MALINOWSKI,22996
GÓRSKI,22316
PAWLAK,22291
NOWICKI,22224
SIKORA,22141
WITKOWSKI,21769
RUTKOWSKI,21581
WALCZAK,21464
BARAN,21139
MICHALAK,20868
SZEWCZYK,20695
OSTROWSKI,20512
TOMASZEWSKI,19759
ZALEWSKI,19409
WRÓBLEWSKI,19172
PIETRZAK,18954
JASIŃSKI,18862
MARCINIAK,18600
SADOWSKI,18539
BĄK,18527
ZAWADZKI,18421
DUDA,18355
JAKUBOWSKI,18250
WILK,17717
CHMIELEWSKI,17570
BORKOWSKI,17298
WŁODARCZYK,17268
SOKOŁOWSKI,16900
SZCZEPAŃSKI,16843
SAWICKI,16728
LIS,16557
KUCHARSKI,16174
KALINOWSKI,15899
WYSOCKI,15874
MAZUREK,15852
KUBIAK,15760
MACIEJEWSKI,15749
KOŁODZIEJ,15304
KAŹMIERCZAK,14927
CZARNECKI,14757
SOBCZAK,14260
KONIECZNY,14220
KRUPA,14039
GŁOWACKI,13952
URBAŃSKI,13935
MRÓZ,13806
ZAKRZEWSKI,13754
WASILEWSKI,13731
KRAJEWSKI,13724
LASKOWSKI,13568
SIKORSKI,13567
ZIÓŁKOWSKI,13458
GAJEWSKI,13312
SZULC,13302
MAKOWSKI,13253
KACZMARCZYK,13091
BRZEZIŃSKI,13075
BARANOWSKI,13013
PRZYBYLSKI,12867
SZYMCZAK,12804
KANIA,12802
KOZAK,12774
JANIK,12761
BOROWSKI,12739
BŁASZCZYK,12734
ADAMSKI,12654
GÓRECKI,12584
SZCZEPANIAK,12534
CHOJNACKI,12418
KOZIOŁ,12283
MUCHA,12262
LESZCZYŃSKI,12258
CZERWIŃSKI,12255
LIPIŃSKI,12228
KOWALEWSKI,12208
ANDRZEJEWSKI,12166
WESOŁOWSKI,12084
MIKOŁAJCZYK,12066
CIEŚLAK,11914
JAROSZ,11892
ZIĘBA,11872
KOWALIK,11673
MUSIAŁ,11663
MARKOWSKI,11616
KOŁODZIEJCZYK,11507
KOPEĆ,11412
BRZOZOWSKI,11329
NOWACKI,11226
ŻAK,11222
PIĄTEK,11209
DOMAŃSKI,11185
ORŁOWSKI,11116
PAWLIK,11114
KUREK,11062
TOMCZYK,11024
CIESIELSKI,10986
TOMCZAK,10944
WÓJTOWICZ,10920
WAWRZYNIAK,10820
KOT,10729
POLAK,10597
WOLSKI,10592
KRUK,10590
MARKIEWICZ,10556
SOWA,10524
STASIAK,10281
JASTRZĘBSKI,10235
STANKIEWICZ,10188
KARPIŃSKI,10127
URBANIAK,10119
ŁUCZAK,10017
KLIMEK,9980
PIASECKI,9964
CZAJKOWSKI,9938
WIERZBICKI,9885
NAWROCKI,9856
GAJDA,9846
BEDNAREK,9637
BIELECKI,9623
STEFAŃSKI,9618
DZIEDZIC,9601
MADEJ,9556
JANICKI,9531
MILEWSKI,9490
SKIBA,9422
SOSNOWSKI,9421
MAJCHRZAK,9362
KOWAL,9336
LEŚNIAK,9328
JÓŹWIAK,9307
MAJ,9304
URBAN,9188
ŚLIWIŃSKI,9146
MAŁECKI,9115
SOCHA,9055
MAREK,9030
DOMAGAŁA,9010
BEDNARCZYK,8985
WRONA,8855
KASPRZAK,8849
DOBROWOLSKI,8804
PAJĄK,8740
MATUSZEWSKI,8735
MICHALIK,8733
RATAJCZAK,8656
OLEJNICZAK,8624
ORZECHOWSKI,8564
ROMANOWSKI,8534
ŚWIĄTEK,8524
WILCZYŃSKI,8509
KUROWSKI,8497
OLEJNIK,8334
ŁUKASIK,8299
GRZELAK,8298
OWCZAREK,8278
ROGOWSKI,8246
MAZURKIEWICZ,8240
BUKOWSKI,8204
SROKA,8190
SOBOLEWSKI,8118
BARAŃSKI,8108
KOSIŃSKI,8075
KĘDZIERSKI,8050
MARSZAŁEK,7971
BEDNARZ,7947
ZYCH,7939
RYBAK,7896
SOBCZYK,7890
SKOWROŃSKI,7868
MATUSIAK,7859
MARCINKOWSKI,7851
KOZIEŁ,7791
LISOWSKI,7791
CHRZANOWSKI,7790
ŚWIDERSKI,7746
KASPRZYK,7704
BEDNARSKI,7675
BIAŁEK,7664
WITEK,7631
PLUTA,7602
KUCZYŃSKI,7598
KWIECIEŃ,7589
PALUCH,7522
GRZYBOWSKI,7515
CHMIEL,7508
JĘDRZEJEWSKI,7505
JANISZEWSKI,7504
MUSZYŃSKI,7488
CZAJKA,7487
TUREK,7487
MORAWSKI,7470
MARCZAK,7426
MARZEC,7352
MAŁEK,7348
KACZOR,7335
ŚLIWA,7288
KUBICKI,7282
ŻUKOWSKI,7280
PIEKARSKI,7272
CZAJA,7271
CZECH,7199
SZCZĘSNY,7164
OSIŃSKI,7128
PRZYBYSZ,7128
KRZEMIŃSKI,7100
GOŁĘBIEWSKI,7086
JANOWSKI,7086
KULESZA,7078
BIERNACKI,7056
STEFANIAK,7054
LECH,6995
SZYDŁOWSKI,6983
SMOLIŃSKI,6968
MICHAŁOWSKI,6944
STANISZEWSKI,6936
LEWICKI,6933
GÓRA,6929
BANACH,6926
SERAFIN,6926
RAK,6922
KUJAWA,6921
CIEŚLIK,6908
MURAWSKI,6892
KACPRZAK,6887
POPŁAWSKI,6872
PIETRZYK,6841
STACHOWIAK,6840
DĘBSKI,6824
RUDNICKI,6789
